"Neuroepithelial cells","Radial glia","Intermediate progenitors","Mature neurons","Excitatory neurons","Inhibitory neurons","Astrocytes","Microglia","Oligodendrocytes","OPCs","Endothelial","Dividing"
NA,"Ppargc1a",NA,"Hs6st2","Kcnh5","Uchl3","Fam184b",NA,"Pacs2","Tpx2","Bsg","Ckap5"
NA,"Psat1",NA,"Grp","Bmp3","Kyat1","Gask1a",NA,"Rtkn","Znf462","Ankrd37","Cenpe"
NA,"Ptn",NA,"Sostdc1","Atp1a3",NA,"Prxl2a",NA,"Rab33a",NA,"Nid1","Ctcf"
NA,"Ptprz1",NA,"Stx1a","Lmo7",NA,"Farp1",NA,"Srcin1",NA,"Tfrc","Nek2"
NA,"Rab3gap2",NA,"Rbfox1","Vmn2r84",NA,"Fbrsl1",NA,"Slc25a1",NA,"Col4a1","G2e3"
NA,"Rgs16",NA,"Cd24","Ptprk",NA,"Fbxo2",NA,"Tlcd3a",NA,"St8sia4","Gas2l3"
NA,"Rhoj",NA,"Kcnq2","Tbr1",NA,"Fgfbp3",NA,"Arl2",NA,"Lamb1","Cbx5"
NA,"Sall1",NA,"Bcl11a","Ipcef1",NA,"Fhit",NA,"Enpp2",NA,"Palmd","Cenpa"
NA,"Sall3",NA,"Elavl2","Crym",NA,"Fmn2",NA,"Prkcz",NA,"Kank3",NA
NA,"Samd4a",NA,"Nptx1","Fhl2",NA,"Frem2",NA,"Tmem141",NA,"Efna1",NA
NA,"Sat1",NA,"Sst","Homer1",NA,"Frmpd1",NA,"Zdhhc9",NA,"Dok4",NA
NA,"Sel1l3",NA,"Copg2as2","R3hdm1",NA,"Fzd10",NA,NA,NA,NA,NA
NA,"Sema5a",NA,"Eno2","Rprml",NA,"Fzd8",NA,NA,NA,NA,NA
NA,"Sfrp1",NA,"3110047p20Rik","Egr3",NA,"Fzd9",NA,NA,NA,NA,NA
NA,"Shisa2",NA,"Caln1","Rasgef1c",NA,"Gabrg1",NA,NA,NA,NA,NA
NA,"Shroom3",NA,"2010300c02Rik","Bmp1",NA,"Galnt4",NA,NA,NA,NA,NA
NA,"Slc1a3",NA,"Sertad4","Npcd",NA,"Gfap",NA,NA,NA,NA,NA
NA,"Slc35f1",NA,"Kcnv1","Grhl1",NA,"Gldc",NA,NA,NA,NA,NA
NA,"Slco1c1",NA,"Celf6","Gm3985",NA,"Gli2",NA,NA,NA,NA,NA
NA,"Slitrk2",NA,"Atp1a3","Igfbp6",NA,"Grid1",NA,NA,NA,NA,NA
NA,"Sntg1",NA,"Ckmt1b","Rorb",NA,"Gm11696",NA,NA,NA,NA,NA
NA,"Soat1",NA,"D3bwg0562e","Synpo",NA,"Gm20751",NA,NA,NA,NA,NA
NA,"Sox2",NA,"Nap1l2","Gm9839",NA,"Gm266",NA,NA,NA,NA,NA
NA,"Sox9",NA,"6330417g04Rik","Ankrd33b",NA,"Gm2a",NA,NA,NA,NA,NA
NA,"Sparc",NA,"Doc2a","Inf2",NA,"Gpam",NA,NA,NA,NA,NA
NA,"Stom",NA,"Coro1a","Ppfibp1",NA,"Gpc2",NA,NA,NA,NA,NA
NA,"Stox1",NA,"Trhr","Vmn2r87",NA,"Gpc6",NA,NA,NA,NA,NA
NA,"Tbc1d1",NA,"Slc32a1","Baiap2",NA,"Gstm3",NA,NA,NA,NA,NA
NA,"Tcf7l2",NA,"Gng2","Sstr3",NA,"Gucy2ep",NA,NA,NA,NA,NA
NA,"Tfap2c",NA,"Syngr3","Ptn",NA,"Gyk",NA,NA,NA,NA,NA
NA,"Tfpi",NA,"Slc10a4","Dusp18",NA,"Gys1",NA,NA,NA,NA,NA
NA,"Tktl1",NA,"Ldb2","Car7",NA,"Hadhb",NA,NA,NA,NA,NA
NA,"Tle4",NA,"Aak1","Arpp21",NA,"Hdac8",NA,NA,NA,NA,NA
NA,"Tmem132b",NA,"Ryr2","Cacng3",NA,"Heph",NA,NA,NA,NA,NA
NA,"Tmem47",NA,"Slc7a8","Neurl1b",NA,"Hey1",NA,NA,NA,NA,NA
NA,"Tnc",NA,"Ntng2","Wwc1",NA,"Hif3a",NA,NA,NA,NA,NA
NA,"Tnfrsf19",NA,"Erc2","Drc1",NA,"H2bc14",NA,NA,NA,NA,NA
